,name,last name,first name,age,position,team,faStatus,total-contract,average,max-contract
101,damianjones,Jones,Damian,27.0>,C,SAC,UFA,4885050,2442525,"$4,885,050"
102,lukekornet,Kornet,Luke,26.9>,C,BOS,UFA,4546582,2273291,"$4,546,582"
103,lukekornet,Kornet,Luke,26.9>,C,BOS,UFA,4546582,2273291,"$4,546,582"
104,djwilson,Wilson,DJ,26.3>,PF,TOR,UFA,4546582,2273291,"$4,546,582"
105,djwilson,Wilson,DJ,26.3>,PF,TOR,UFA,4546582,2273291,"$4,546,582"
106,bolbol,Bol,Bol,22.6>,C,ORL,UFA,4400000,2200000,"$4,400,000"
107,bolbol,Bol,Bol,22.6>,C,ORL,UFA,4400000,2200000,"$4,400,000"
108,joewieskamp,Wieskamp,Joe,2022.7>,SF,SAS,RFA,4375000,2187500,"$4,375,000"
109,joewieskamp,Wieskamp,Joe,2022.7>,SF,SAS,RFA,4375000,2187500,"$4,375,000"
110,jevoncarter,Carter,Jevon,26.8>,PG,MIL,UFA,4339943,2169972,"$4,339,943"
111,jevoncarter,Carter,Jevon,26.8>,PG,MIL,UFA,4339943,2169972,"$4,339,943"
112,kzokpala,Okpala,KZ,23.3>,SF,OKC,UFA,3968718,1984359,"$3,968,718"
113,kzokpala,Okpala,KZ,23.3>,SF,OKC,UFA,3968718,1984359,"$3,968,718"
114,davonreed,Reed,Davon,27.0>,SG,DEN,RFA,3968718,1984359,"$3,968,718"
115,davonreed,Reed,Davon,27.0>,SG,DEN,RFA,3968718,1984359,"$3,968,718"
116,nathanknight,Knight,Nathan,24.8>,PF,MIN,RFA,3833328,1916664,"$3,833,328"
117,nathanknight,Knight,Nathan,24.8>,PF,MIN,RFA,3833328,1916664,"$3,833,328"
118,anthonygill,Gill,Anthony,29.7>,PF,WAS,RFA,3833328,1916664,"$3,833,328"
119,anthonygill,Gill,Anthony,29.7>,PF,WAS,RFA,3833328,1916664,"$3,833,328"
120,justinchampagnie,Champagnie,Justin,21.0>,F,TOR,RFA,3565862,1782931,"$3,565,862"
121,justinchampagnie,Champagnie,Justin,21.0>,F,TOR,RFA,3565862,1782931,"$3,565,862"
122,kessleredwards,Edwards,Kessler,21.8>,SF,BKN,UFA,3565862,1782931,"$3,565,862"
123,kessleredwards,Edwards,Kessler,21.8>,SF,BKN,UFA,3565862,1782931,"$3,565,862"
124,blakegriffin,Griffin,Blake,33.5>,PF,BKN,UFA,2905851,2905851,"$2,905,851"
125,blakegriffin,Griffin,Blake,33.5>,PF,BKN,UFA,2905851,2905851,"$2,905,851"
126,andreiguodala,Iguodala,Andre,38.6>,SF,GSW,UFA,2905851,2905851,"$2,905,851"
127,andreiguodala,Iguodala,Andre,38.6>,SF,GSW,UFA,2905851,2905851,"$2,905,851"
128,udonishaslem,Haslem,Udonis,42.2>,PF,MIA,UFA,2905851,2905851,"$2,905,851"
129,udonishaslem,Haslem,Udonis,42.2>,PF,MIA,UFA,2905851,2905851,"$2,905,851"
130,gorandragic,Dragic,Goran,36.2>,PG,BKN,UFA,2905851,2905851,"$2,905,851"
131,gorandragic,Dragic,Goran,36.2>,PG,BKN,UFA,2905851,2905851,"$2,905,851"
132,austinrivers,Rivers,Austin,29.9>,PG,DEN,UFA,2905851,2905851,"$2,905,851"
133,austinrivers,Rivers,Austin,29.9>,PG,DEN,UFA,2905851,2905851,"$2,905,851"
