"","X","Player","Age","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","X.","OWS","DWS","WS","WS.48","X..1","OBPM","DBPM","BPM","VORP","Tm","fix"
"384",521,"Matisse Thybulle",24,66,1685,11.2,0.594,0.48,0.143,2.8,7.1,5,6.1,3.4,3.8,10.9,9.5,NA,1.2,2.5,3.7,0.107,NA,-2.2,3.3,1.1,1.3,"PHI","matissethybulle"
"385",523,"Furkan Korkmaz",24,67,1414,10.2,0.502,0.566,0.179,1.8,11.9,6.9,13.1,1.2,0.6,8.6,17.6,NA,0.1,1.1,1.2,0.041,NA,-2,-1.1,-3.1,-0.4,"PHI","furkankorkmaz"
"386",524,"Danny Green",34,62,1353,9.5,0.561,0.847,0.044,2.7,10.1,6.5,6.5,2.2,2.5,12.1,12.3,NA,0.3,1.6,1.9,0.067,NA,-1.4,0.8,-0.5,0.5,"PHI","dannygreen"
"387",525,"Shake Milton",25,55,1179,11.9,0.517,0.33,0.181,2.9,10.4,6.7,17.6,1.2,1.3,9.2,18.3,NA,0.7,1,1.7,0.069,NA,-1.6,-0.6,-2.2,-0.1,"PHI","shakemilton"
"388",528,"Isaiah Joe",22,55,609,7.7,0.519,0.763,0.175,1.1,9,5.1,8.1,1.1,0.4,9.1,15.5,NA,0,0.4,0.4,0.035,NA,-3.1,-1.5,-4.6,-0.4,"PHI","isaiahjoe"
"389",529,"Paul Reed",22,38,302,21.4,0.568,0.083,0.146,16.6,17.4,17,8.3,5.5,4.2,8.9,16.7,NA,0.6,0.7,1.3,0.212,NA,-0.8,2.9,2.1,0.3,"PHI","paulreed"
"390",531,"Charles Bassey",21,23,168,21.5,0.66,0.085,0.255,14.9,26.1,20.6,6.5,1.5,9.1,13.3,16.1,NA,0.4,0.3,0.8,0.22,NA,-0.4,2.1,1.7,0.2,"PHI","charlesbassey"
"391",534,"Myles Powell",24,11,52,0.2,0.364,0.353,0.118,2.2,10.6,6.4,8,1,0,14.4,18,NA,-0.2,0,-0.1,-0.109,NA,-10.5,-2.2,-12.7,-0.1,"PHI","mylespowell"
"392",536,"Aaron Henry",22,6,17,-7.4,0.2,0.2,0,0,6.5,3.3,0,0,10.6,28.6,18.5,NA,-0.1,0,-0.1,-0.306,NA,-14,-2.4,-16.5,-0.1,"PHI","aaronhenry"
"393",538,"Jaden Springer",19,2,6,26.4,1,0,0,18.9,18.3,18.6,0,0,30,50,15,NA,0,0,0,0.138,NA,8.3,8.7,17.1,0,"PHI","jadenspringer"
"394",540,"Mikal Bridges",25,82,2854,14.4,0.627,0.364,0.183,2.9,10,6.5,8.7,1.6,1.1,6.8,15,NA,5.2,3.7,8.9,0.15,NA,0.5,1.1,1.6,2.6,"PHO","mikalbridges"
"395",541,"Devin Booker",25,68,2345,21.3,0.576,0.336,0.255,2.1,13.2,7.8,22.4,1.6,1,9.3,32,NA,4.3,3.3,7.6,0.156,NA,3.9,0.2,4.1,3.6,"PHO","devinbooker"
"396",542,"Chris Paul",36,65,2139,20.8,0.581,0.27,0.274,1.1,12.8,7.1,44.5,2.7,0.8,15.6,19.7,NA,5.8,3.6,9.4,0.21,NA,3.1,2.3,5.4,4,"PHO","chrispaul"
"397",543,"Jae Crowder",31,67,1886,11.3,0.541,0.671,0.165,1.8,18,10.1,8.3,2.4,1.4,8.6,14.6,NA,0.9,3.4,4.3,0.11,NA,-1.3,2.4,1.1,1.5,"PHO","jaecrowder"
"398",544,"Cameron Johnson",25,66,1730,15.2,0.625,0.644,0.188,2.7,14,8.5,7.7,1.6,0.8,6.7,17.5,NA,3.2,2.4,5.6,0.156,NA,2,0.7,2.7,2.1,"PHO","cameronjohnson"
"399",545,"Deandre Ayton",23,58,1713,21.9,0.656,0.027,0.204,9.6,27.1,18.6,7.6,1.1,2.1,10.7,21.4,NA,4.1,3.1,7.3,0.203,NA,2.2,0.6,2.8,2.1,"PHO","deandreayton"
"400",546,"Landry Shamet",24,69,1437,10.2,0.55,0.689,0.167,1.2,8,4.7,9.7,0.9,0.6,7.3,16.8,NA,1.1,1.5,2.6,0.085,NA,-0.9,-0.4,-1.2,0.3,"PHO","landryshamet"
"401",547,"Cameron Payne",27,58,1278,13.8,0.5,0.359,0.152,2.1,12.3,7.3,30.7,1.5,1.2,14.1,24.6,NA,0.2,1.8,1.9,0.073,NA,-0.4,0.4,0,0.7,"PHO","cameronpayne"
"402",548,"JaVale McGee",34,74,1172,22.6,0.651,0.02,0.319,15.3,29.7,22.7,5.4,0.9,6.1,15.8,22.8,NA,2.4,2.6,4.9,0.201,NA,-0.1,0.9,0.8,0.8,"PHO","javalemcgee"
"403",550,"Elfrid Payton",27,50,549,7.9,0.397,0.103,0.183,4.2,12.8,8.6,23,2.2,1,19.9,18.5,NA,-1,0.8,-0.2,-0.014,NA,-4.6,1.2,-3.5,-0.2,"PHO","elfridpayton"
"404",551,"Bismack Biyombo",29,36,506,17.3,0.596,0,0.49,13.7,21.5,17.7,6.2,1.1,4.6,12.4,17.1,NA,0.9,0.9,1.8,0.17,NA,-1.7,0.4,-1.3,0.1,"PHO","bismackbiyombo"
"405",553,"Ish Wainright",27,45,359,9.4,0.494,0.567,0.115,8.3,7.9,8.1,5.3,2.7,1.5,10.6,14.7,NA,0,0.6,0.6,0.079,NA,-3,1,-2,0,"PHO","ishwainright"
"406",555,"Frank Kaminsky",28,9,181,21.3,0.635,0.227,0.303,6.7,17.3,12.1,10.1,2.1,3.4,6.3,19,NA,0.5,0.3,0.9,0.228,NA,2.4,2.5,4.9,0.3,"PHO","frankkaminsky"
"407",556,"Abdel Nader",28,14,145,4.9,0.431,0.4,0.286,3,16.6,10,5.9,2.7,2.5,21.8,15,NA,-0.3,0.3,0,-0.009,NA,-7.1,2.2,-5,-0.1,"PHO","abdelnader"
"408",557,"Gabriel Lundberg",27,4,44,7.7,0.342,0.421,0,5,11.9,8.5,31.5,3.3,0,13.6,21.5,NA,-0.1,0.1,0,-0.005,NA,-5.3,0.5,-4.8,0,"PHO","gabriellundberg"
"409",559,"Chandler Hutchison",25,6,22,1,0.694,0,1,0,23.8,12.2,10.5,0,0,58.1,13.5,NA,-0.1,0,0,-0.086,NA,-8,-0.5,-8.5,0,"PHO","chandlerhutchison"
"410",560,"Emanuel Terry",25,3,18,-0.1,0,0,0,48.9,40.6,44.7,12.2,2.7,0,50,23.9,NA,-0.1,0,-0.1,-0.256,NA,-13,-5.3,-18.3,-0.1,"PHO","emanuelterry"
"411",561,"M.J. Walker",23,2,8,-3.3,0,0.5,0,0,13.1,6.7,13.8,12,0,0,21.5,NA,-0.1,0,0,-0.276,NA,-15.8,6.2,-9.6,0,"PHO","mjwalker"
"412",562,"Paris Bass",26,2,7,13.9,0.436,0.333,0.333,31.5,29.9,30.6,0,6.9,0,22.5,54.6,NA,0,0,0,-0.17,NA,-11.2,-1.2,-12.4,0,"PHO","parisbass"
"413",563,"Anfernee Simons",22,57,1681,15.3,0.583,0.555,0.146,1.6,8.5,4.9,22.2,0.9,0.4,11.9,24.8,NA,2,-0.1,1.9,0.055,NA,1.9,-2.7,-0.7,0.5,"POR","anferneesimons"
"414",564,"Jusuf Nurkić",27,56,1579,20,0.586,0.093,0.447,11.2,32.6,21.5,16.6,1.9,2.1,16.6,23.6,NA,2,1.7,3.6,0.11,NA,0.1,0.2,0.3,0.9,"POR","jusufnurki"
"415",567,"Ben McLemore",28,64,1285,11.7,0.567,0.774,0.163,1,8.1,4.4,7.3,1.4,0.8,8.7,21.3,NA,0.7,0.2,0.8,0.031,NA,-0.7,-2.5,-3.2,-0.4,"POR","benmclemore"
"416",569,"CJ Elleby",21,58,1174,9.2,0.491,0.409,0.273,6,15.6,10.6,10.6,1.5,1.6,14,14.8,NA,-0.1,0.5,0.4,0.016,NA,-3.8,-1.5,-5.3,-1,"POR","cjelleby"
"417",570,"Nassir Little",21,42,1088,13.5,0.575,0.489,0.298,5.7,18.7,11.9,7.4,1.1,3.3,10.1,15.8,NA,1.2,0.6,1.7,0.076,NA,-0.9,-0.6,-1.4,0.2,"POR","nassirlittle"
"418",571,"Damian Lillard",31,29,1056,18.5,0.55,0.514,0.328,1.3,11.6,6.2,34,0.8,1,11.6,29.3,NA,1.7,0.1,1.7,0.079,NA,4,-2.7,1.3,0.9,"POR","damianlillard"
"419",572,"Trendon Watford",21,48,869,15.8,0.59,0.142,0.352,7,18.6,12.6,14.6,1.4,3.2,12.5,17.6,NA,1.4,0.5,1.9,0.104,NA,-1.4,-0.4,-1.7,0.1,"POR","trendonwatford"
"420",575,"Greg Brown III",20,48,640,11,0.515,0.321,0.342,6.3,17.3,11.6,8.1,2,3.7,14.1,17.2,NA,-0.1,0.5,0.4,0.029,NA,-4,-0.7,-4.7,-0.4,"POR","gregbrowniii"
"421",576,"Brandon Williams",22,24,640,11,0.476,0.376,0.344,3.1,9.8,6.4,23.1,1.8,1.5,15.2,25.9,NA,-0.7,0.2,-0.5,-0.037,NA,-2.6,-3.1,-5.7,-0.6,"POR","brandonwilliams"
"422",577,"Dennis Smith Jr.",24,37,638,13.2,0.474,0.143,0.339,3.3,12.2,7.6,30.5,3.4,1.9,19,18.2,NA,-0.1,0.5,0.4,0.031,NA,-2.8,1.2,-1.7,0.1,"POR","dennissmithjr"
"423",581,"Cody Zeller",29,27,355,17.2,0.627,0.044,0.544,14.9,24.1,19.3,9.4,1.1,1.7,14.6,15.9,NA,0.9,0.2,1.1,0.143,NA,-1.2,-1,-2.1,0,"POR","codyzeller"
"424",582,"Keljin Blevins",26,31,349,4.8,0.41,0.649,0.099,4.9,9.5,7.1,7.7,1.8,0.3,12.8,16.5,NA,-0.6,0.1,-0.5,-0.066,NA,-5.6,-2.9,-8.5,-0.6,"POR","keljinblevins"
"425",583,"Kris Dunn",27,14,336,12.5,0.482,0.108,0.176,2.8,13.6,8,35.1,3.3,0.9,22.5,18.3,NA,-0.1,0.3,0.2,0.024,NA,-4.6,-0.8,-5.4,-0.3,"POR","krisdunn"
"426",588,"Cameron McGriff",24,3,46,12.5,0.47,0.429,0.143,13.8,22.3,17.9,9.4,0,2.1,0,14,NA,0.1,0,0.1,0.097,NA,-1,-3,-4,0,"POR","cameronmcgriff"
"427",589,"Jarron Cumberland",24,3,12,8.4,0.5,0.5,0,8.8,19,13.7,11.6,0,0,0,7.2,NA,0,0,0,0.079,NA,-4.4,-2.2,-6.6,0,"POR","jarroncumberland"
