"","X","Player","Age","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Tm","fix"
"352",485,"Olivier Sarr",22,22,2,421,58,101,0.574,13,29,0.448,45,72,0.625,0.639,24,29,0.828,34,59,93,19,6,15,22,52,153,"OKC","oliviersarr"
"353",486,"Jaylen Hoard",22,7,5,240,44,90,0.489,9,25,0.36,35,65,0.538,0.539,6,14,0.429,30,54,84,17,6,5,8,14,103,"OKC","jaylenhoard"
"354",487,"Mamadi Diakite",25,13,3,188,25,47,0.532,0,5,0,25,42,0.595,0.532,6,11,0.545,17,42,59,2,5,9,7,33,56,"OKC","mamadidiakite"
"355",488,"Zavier Simpson",24,4,4,174,19,52,0.365,1,8,0.125,18,44,0.409,0.375,5,5,1,2,19,21,30,5,4,10,15,44,"OKC","zaviersimpson"
"356",490,"Paul Watson",27,9,3,156,12,35,0.343,6,26,0.231,6,9,0.667,0.429,1,2,0.5,3,24,27,8,3,3,4,10,31,"OKC","paulwatson"
"357",491,"Melvin Frazier",25,3,0,120,13,48,0.271,1,21,0.048,12,27,0.444,0.281,5,7,0.714,5,8,13,1,1,0,3,8,32,"OKC","melvinfrazier"
"358",492,"Gabriel Deck",26,7,0,56,8,14,0.571,2,4,0.5,6,10,0.6,0.643,0,0,NA,1,5,6,5,1,0,2,2,18,"OKC","gabrieldeck"
"359",493,"Scotty Hopson",32,1,0,18,2,4,0.5,0,1,0,2,3,0.667,0.5,0,0,NA,0,1,1,1,0,0,2,1,4,"OKC","scottyhopson"
"360",494,"Rob Edwards",25,2,0,11,1,4,0.25,1,4,0.25,0,0,NA,0.375,0,0,NA,0,3,3,0,0,0,1,0,3,"OKC","robedwards"
"361",495,"Franz Wagner",20,79,79,2429,456,975,0.468,96,271,0.354,360,704,0.511,0.517,189,219,0.863,84,272,356,231,68,34,119,164,1197,"ORL","franzwagner"
"362",496,"Cole Anthony",21,65,65,2059,357,912,0.391,132,391,0.338,225,521,0.432,0.464,216,253,0.854,32,316,348,369,46,17,170,171,1062,"ORL","coleanthony"
"363",497,"Wendell Carter Jr.",22,62,61,1852,359,684,0.525,70,214,0.327,289,470,0.615,0.576,143,207,0.691,139,509,648,171,36,43,117,169,931,"ORL","wendellcarterjr"
"364",498,"Mo Bamba",23,71,69,1824,296,617,0.48,107,281,0.381,189,336,0.563,0.566,57,73,0.781,148,424,572,85,38,118,77,182,756,"ORL","mobamba"
"365",499,"Chuma Okeke",23,70,20,1749,216,575,0.376,118,371,0.318,98,204,0.48,0.478,55,65,0.846,47,300,347,118,97,42,57,95,605,"ORL","chumaokeke"
"366",500,"Gary Harris",27,61,30,1730,240,553,0.434,116,302,0.384,124,251,0.494,0.539,83,95,0.874,36,86,122,108,59,9,61,112,679,"ORL","garyharris"
"367",501,"Terrence Ross",30,63,0,1448,220,554,0.397,77,264,0.292,143,290,0.493,0.467,112,130,0.862,20,141,161,116,28,12,75,68,629,"ORL","terrenceross"
"368",502,"R.J. Hampton",20,64,14,1402,175,457,0.383,64,183,0.35,111,274,0.405,0.453,75,117,0.641,23,171,194,158,42,13,87,101,489,"ORL","rjhampton"
"369",503,"Jalen Suggs",20,48,45,1307,198,548,0.361,42,196,0.214,156,352,0.443,0.4,126,163,0.773,26,145,171,209,59,19,143,142,564,"ORL","jalensuggs"
