last name,first name,age,position,team,faStatus,total-contract,average,max-contract
Elleby,CJ,22.1>,SF,POR,UFA,1836090,1836090,"$1,836,090"
Vildoza,Luca,26.8>,PG,MIL,UFA,1836090,1836090,"$1,836,090"
Johnson,David,21.6>,PG,TOR,RFA,1637966,1637966,"$1,637,966"
Ryan,Matt,25.4>,SF,BOS,UFA,1637966,1637966,"$1,637,966"
Cooper,Sharife,21.2>,PG,ATL,RFA,1637966,1637966,"$1,637,966"
York,Gabe,29.1>,SG,IND,UFA,1637966,1637966,"$1,637,966"
Pickett,Jamorko,24.7>,SF,DET,UFA,1637966,1637966,"$1,637,966"
WrightIV,McKinley,23.8>,PG,MIN,UFA,1637966,1637966,"$1,637,966"
Moon,Xavier,27.5>,SG,LAC,UFA,1637966,1637966,"$1,637,966"
Wigginton,Lindell,24.2>,SG,MIL,UFA,1637966,1637966,"$1,637,966"
